OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
42450,2018,CA,CDF,SLU,CAMINO,11247,2018/10/19 00:00:00+00,2018/10/19 00:00:00+00,10,No damage to structures or infrastructure,58,58.527103,7,1,,3319.081849,-355318.6289
42451,2018,CA,BIA,HIA,SIGNBOARD,174,2018/11/16 00:00:00+00,2018/11/17 00:00:00+00,,,,81.154282,3,1,,4238.80552,-577697.9043
42452,2018,CA,BIA,HIA,MILL CREEK 1,115,2018/09/05 00:00:00+00,2018/09/06 00:00:00+00,,,,3676.6829,3,1,,38261.85526,-26257966.49
42453,2019,CA,CCO,VNC,MARIA,90135,2019/10/31 00:00:00+00,2019/11/05 00:00:00+00,14,"Maria IMT, 11/3/2019 2130hrs",9999,10042.459,7,1,,66055.59526,-59718543.84
42454,2019,CA,CCO,VNC,EASY,89158,2019/10/30 00:00:00+00,2019/11/13 00:00:00+00,14,multiple perimeters,1806,1806.2338,7,1,,30918.43617,-10729257.7
42455,2019,CA,CCO,VNC,OLIVAS,82263,2019/10/11 00:00:00+00,2019/10/13 00:00:00+00,14,Multiple perimeters,,171.41829,7,1,,6473.679149,-1017353.609
42456,2019,CA,CCO,VNC,SOUTH,55688,2019/07/14 00:00:00+00,2019/07/15 00:00:00+00,14,,,131.31725,2,1,,3413.749253,-781530.2023
42457,2019,CA,CCO,VNC,POTRERO,59442,2019/07/26 00:00:00+00,2019/07/27 00:00:00+00,14,,,11.119761,7,1,,1302.49424,-65878.53153
42458,2019,CA,CDF,BTU,SWEDES,10594,2019/09/06 00:00:00+00,2019/09/09 00:00:00+00,5,,,510.1355,1,1,,11259.86473,-3468134.746
42459,2019,CA,CDF,BTU,FORBESTOWN,10635,2019/09/06 00:00:00+00,2019/09/16 00:00:00+00,11,,,57.447403,1,1,,2715.225943,-390788.9067
42460,2019,CA,CDF,TUU,CREEK_4,684,2019/08/31 00:00:00+00,2019/09/06 00:00:00+00,2,,754,754.42572,2,1,,11193.45913,-4726905.292
42461,2019,CA,CCO,SBC,MCMURRAY,11619,2019/09/10 00:00:00+00,2019/09/14 00:00:00+00,14,,200,355.32288,1,1,,13024.55379,-2129982.652
42462,2019,CA,CCO,SBC,REAL,13465,2019/10/17 00:00:00+00,2019/10/21 00:00:00+00,14,,420,420.6586,3,1,,8608.857864,-2510906.668
42463,2019,CA,CCO,SBC,BAR,,2019/11/13 00:00:00+00,2019/11/13 00:00:00+00,18,Slopover on Bar M VMP,20,51.626499,1,1,,3828.806818,-309784.6626
42464,2019,CA,CCO,SBC,SWEENEY,10380,2019/08/14 00:00:00+00,2019/08/14 00:00:00+00,14,,17,16.980272,1,1,,1363.543991,-101744.9439
42465,2019,CA,CCO,KRN,REFUGE,1918282,2019/05/07 00:00:00+00,2019/05/09 00:00:00+00,2,,3332.430958,3332.4309,1,1,,23920.51947,-20496944.29
42466,2019,CA,CCO,KRN,VULCAN,1917674,2019/05/03 00:00:00+00,2019/05/03 00:00:00+00,14,,169.9030728,169.90308,1,1,,5634.199847,-1027203.531
42467,2019,CA,CCO,KRN,GROVE,1948217,2019/11/15 00:00:00+00,2019/11/15 00:00:00+00,14,,14,14.535879,1,1,,1852.820751,-89493.08307
42468,2019,CA,CCO,KRN,ENTRANCE,1921595,2019/05/30 00:00:00+00,2019/05/30 00:00:00+00,14,,50,53.310265,1,1,,2563.561676,-326539.3812
42469,2019,CA,CCO,KRN,BARREL,1919623,2019/05/16 00:00:00+00,2019/05/16 00:00:00+00,14,,56,55.861351,1,1,,3353.226177,-343362.5798
42470,2019,CA,CCO,KRN,KECKS,1917930,2019/05/05 00:00:00+00,2019/05/05 00:00:00+00,14,,13,13.336489,1,1,,1904.126086,-81958.83421
42471,2019,CA,CCO,KRN,CORCORAN,1940150,2019/09/24 00:00:00+00,2019/09/24 00:00:00+00,3,,,2.8977313,1,1,,1283.329643,-17826.32531
42472,2019,CA,CCO,KRN,PHILLIPS,1945610,2019/10/30 00:00:00+00,2019/10/30 00:00:00+00,14,,4.7,4.6533341,1,1,,979.7386358,-28577.60169
42473,2019,CA,CCO,KRN,RIDGE,1940848,2019/09/29 00:00:00+00,2019/09/29 00:00:00+00,14,,25,38.805553,1,1,,2135.89662,-234588.3857
42474,2019,CA,CCO,KRN,MESA,1931668,2019/07/31 00:00:00+00,2019/08/01 00:00:00+00,14,,277,227.00946,1,1,,4884.861765,-1392801.256
42475,2019,CA,CCO,KRN,WHITE,1942085,2019/10/07 00:00:00+00,2019/10/08 00:00:00+00,14,,62,61.079914,1,1,,3731.084976,-374630.2898
42476,2019,CA,CDF,LNU,OAK,16101,2019/09/07 00:00:00+00,2019/09/10 00:00:00+00,2,,,53.116959,1,1,,2300.327421,-355945.7237
42477,2019,CA,CDF,LNU,EAGLE,20533,2019/11/04 00:00:00+00,2019/11/04 00:00:00+00,14,,,73.550552,1,1,,4075.062401,-494834.8159
42478,2019,CA,CDF,LNU,KINCADE,19376,2019/10/23 00:00:00+00,2019/11/10 00:00:00+00,11,,,77762.141,1,1,,238568.8564,-517112590.7
42479,2019,CA,CDF,LNU,AMERICAN,18056,2019/10/06 00:00:00+00,2019/10/07 00:00:00+00,14,,,526.85785,2,1,,8792.307891,-3455730.122
42480,2019,CA,CDF,LNU,CANYON,12823,2019/07/22 00:00:00+00,2019/07/25 00:00:00+00,2,,,48.001408,1,1,,2459.131546,-317321.464
42481,2019,CA,CDF,LNU,OLIVE,10653,2019/06/19 00:00:00+00,2019/06/20 00:00:00+00,11,,,16.01936,1,1,,1659.022435,-105923.4115
42482,2019,CA,CDF,LNU,BACHELOR,16252,2019/09/09 00:00:00+00,2019/09/09 00:00:00+00,2,,,15.837549,1,1,,1439.199565,-106871.8674
42483,2019,CA,CDF,LNU,GLASS,15917,2019/09/04 00:00:00+00,2019/09/04 00:00:00+00,14,,,23.919117,1,1,,3201.102931,-160123.8809
42484,2019,CA,CDF,LNU,SAND,9880,2019/06/08 00:00:00+00,2019/06/13 00:00:00+00,1, ,,2422.0176,2,1,,29141.56654,-16208267.48
